iplantitem1,relation,iplantitem2
蔓胡颓子,经济用途,中国食用(淀粉)植物
角花胡颓子,经济用途,中国食用(淀粉)植物
宜昌胡颓子,经济用途,中国食用(淀粉)植物
银果牛奶子,经济用途,中国食用(淀粉)植物
翅果油树,经济用途,中国食用(淀粉)植物
细枝木半夏,经济用途,中国食用(淀粉)植物
尖果沙枣,经济用途,中国食用(淀粉)植物
胡颓子,经济用途,中国食用(淀粉)植物
牛奶子,经济用途,中国食用(淀粉)植物
巫山牛奶子,经济用途,中国食用(淀粉)植物
穇子,经济用途,中国食用(淀粉)植物
大黄药,经济用途,中国食用(淀粉)植物
酸藤子属,经济用途,中国食用(淀粉)植物
酸藤子,经济用途,中国食用(淀粉)植物
长叶酸藤子,经济用途,中国食用(淀粉)植物
白花酸藤果,经济用途,中国食用(淀粉)植物
短梗酸藤子,经济用途,中国食用(淀粉)植物
大叶酸藤子,经济用途,中国食用(淀粉)植物
密齿酸藤子,经济用途,中国食用(淀粉)植物
东北岩高兰,经济用途,中国食用(淀粉)植物
榼藤,经济用途,中国食用(淀粉)植物
中麻黄,经济用途,中国食用(淀粉)植物
柳兰,经济用途,中国食用(淀粉)植物
昙花,经济用途,中国食用(淀粉)植物
杜鹃花科,经济用途,中国食用(淀粉)植物
枇杷属,经济用途,中国食用(淀粉)植物
大花枇杷,经济用途,中国食用(淀粉)植物
台湾枇杷,经济用途,中国食用(淀粉)植物
枇杷,经济用途,中国食用(淀粉)植物
野黍,经济用途,中国食用(淀粉)植物
赤才,经济用途,中国食用(淀粉)植物
绵参,经济用途,中国食用(淀粉)植物
鸡头薯,经济用途,中国食用(淀粉)植物
芝麻菜,经济用途,中国食用(淀粉)植物
刺芹,经济用途,中国食用(淀粉)植物
翅果刺桐,经济用途,中国食用(淀粉)植物
赤苍藤,经济用途,中国食用(淀粉)植物
芡实,经济用途,中国食用(淀粉)植物
荞麦属,经济用途,中国食用(淀粉)植物
荞麦,经济用途,中国食用(淀粉)植物
苦荞麦,经济用途,中国食用(淀粉)植物
贴毛箭竹,经济用途,中国食用(淀粉)植物
窝竹,经济用途,中国食用(淀粉)植物
岩斑竹,经济用途,中国食用(淀粉)植物
缺苞箭竹,经济用途,中国食用(淀粉)植物
牛麻箭竹,经济用途,中国食用(淀粉)植物
棉花竹,经济用途,中国食用(淀粉)植物
九龙箭竹,经济用途,中国食用(淀粉)植物
大姚箭竹,经济用途,中国食用(淀粉)植物
神农箭竹,经济用途,中国食用(淀粉)植物
长圆鞘箭竹,经济用途,中国食用(淀粉)植物
少花箭竹,经济用途,中国食用(淀粉)植物
皱壳箭竹,经济用途,中国食用(淀粉)植物
糙花箭竹,经济用途,中国食用(淀粉)植物
箭竹,经济用途,中国食用(淀粉)植物
细枝箭竹,经济用途,中国食用(淀粉)植物
薄壁箭竹,经济用途,中国食用(淀粉)植物
伞把竹,经济用途,中国食用(淀粉)植物
昆明实心竹,经济用途,中国食用(淀粉)植物
察隅箭竹,经济用途,中国食用(淀粉)植物
铁竹,经济用途,中国食用(淀粉)植物
铜山阿魏,经济用途,中国食用(淀粉)植物
榕属,经济用途,中国食用(淀粉)植物
大果榕,经济用途,中国食用(淀粉)植物
无花果,经济用途,中国食用(淀粉)植物
尖叶榕,经济用途,中国食用(淀粉)植物
异叶榕,经济用途,中国食用(淀粉)植物
苹果榕,经济用途,中国食用(淀粉)植物
聚果榕,经济用途,中国食用(淀粉)植物
棒果榕,经济用途,中国食用(淀粉)植物
地果,经济用途,中国食用(淀粉)植物
青果榕,经济用途,中国食用(淀粉)植物
梧桐,经济用途,中国食用(淀粉)植物
香港瓜馥木,经济用途,中国食用(淀粉)植物
茴香,经济用途,中国食用(淀粉)植物
草莓,经济用途,中国食用(淀粉)植物
东方草莓,经济用途,中国食用(淀粉)植物
藤黄属,经济用途,中国食用(淀粉)植物
云树,经济用途,中国食用(淀粉)植物
山木瓜,经济用途,中国食用(淀粉)植物
莽吉柿,经济用途,中国食用(淀粉)植物
岭南山竹子,经济用途,中国食用(淀粉)植物
大果藤黄,经济用途,中国食用(淀粉)植物
大叶藤黄,经济用途,中国食用(淀粉)植物
云南藤黄,经济用途,中国食用(淀粉)植物
栀子,经济用途,中国食用(淀粉)植物
地檀香,经济用途,中国食用(淀粉)植物
井冈寒竹,经济用途,中国食用(淀粉)植物
路边青,经济用途,中国食用(淀粉)植物
白毛巨竹,经济用途,中国食用(淀粉)植物
银杏,经济用途,中国食用(淀粉)植物
银杏科,经济用途,中国食用(淀粉)植物
山皂荚,经济用途,中国食用(淀粉)植物
皂荚,经济用途,中国食用(淀粉)植物
珊瑚菜,经济用途,中国食用(淀粉)植物
大豆,经济用途,中国食用(淀粉)植物
野大豆,经济用途,中国食用(淀粉)植物
狭叶白花野大豆,经济用途,中国食用(淀粉)植物
海南山小橘,经济用途,中国食用(淀粉)植物
买麻藤,经济用途,中国食用(淀粉)植物
大子买麻藤,经济用途,中国食用(淀粉)植物
