title,label
胡麻、脂麻、油麻、乌麻、巨胜、狗虱、交麻、小胡麻,newNode
Sesamum indicum Linn,newNode
九牛造[湖北、四川]、螺丝三七、算盘七、鸡血七、九龙盘[贵州]、蓼子七、红三七、赶山鞭[陕西],newNode
假龙头花,newNode
Physostegiavirginiana,newNode
假龙头花属,newNode
尾叶珠子木 枝翅叶下珠,newNode
Phyllanthodendron dunnianum,newNode
黑皮插柚紫；枝花流苏树，柚柴,newNode
Linociera ramiflora,newNode
Chionanthus ramiflorus,newNode
Melastoma dendrisetosum,newNode
Rheum rhizostachyum,newNode
Symplocos multipes,newNode
蚳母，连母，野蓼，地参,newNode
单子植物纲,newNode
Fimbristylis eragrostis,newNode
Fimbristylis eragrostis (Nees) Hance,newNode
2003年APG,newNode
Anemarrhena Bunge,newNode
龙舌兰亚科,newNode
程咬金《贵州民间药物》,newNode
Eragrostis ferruginea,newNode
Jasminum lang,newNode
Itoa Hemsl.,newNode
刺篱木科,newNode
伊桐、野厚朴、山枇杷,newNode
Itoa orientalis Hemsl.,newNode
Itoa orientalis,newNode
木丹、鲜支、卮子、越桃、水横枝、支子花、枝子花、山栀花、黄鸡子、黄荑子、黄栀子、黄栀、山黄栀、玉荷花,newNode
Silvianthus bracteatus,newNode
Aspidistra Ker-Gawl.,newNode
假叶树亚科,newNode
一叶青，一叶兰，箬叶,newNode
Aspidistra elatior Blume,newNode
美洲水鬼蕉、水鬼蕉、海水仙、螯蟹花、蜘蛛百合。,newNode
Hymenocallis americana,newNode
螫蟹花属,newNode
Silvianthus Hook. f.,newNode
近期的分类系统则是将茜草科分类在龙胆目,newNode
早期的分类系统,newNode
Arachnis labrosa Blume,newNode
安氏岩蕨,newNode
Woodsia andersonii,newNode
Ancylostemon saxatilis,newNode
Selenodesmium cupressoides,newNode
真蕨植物门,newNode
Nepeta nuda,newNode
直齿荆芥组、直齿荆芥系,newNode
Pommereschea lackneri,newNode
Pommereschea Wittm.,newNode
Paramignya rectispina,newNode
Oxyceros rectispina,newNode
南洋胡桃木、南洋楸木,newNode
Sindora glabra Merr.ex de Wit,newNode
Saxifraga erectisepala,newNode
Scutellaria orthocalyx,newNode
Gentiana erectosepala,newNode
Rumex thyrsiflorus,newNode
Triphysaria chinensis,newNode
Orthocarpus chinensis Hong,newNode
Berberis asmyana,newNode
苍山紫堇（云南）,newNode
Corydalis balfouriana,newNode
Stachys strictiflora,newNode
Anemone orthocarpa,newNode
Trigonella orthoceras,newNode
Orthocarpus Nutt.,newNode
Impatiens rectirostrata,newNode
Coniogramme procera,newNode
Rhodiola recticaulis,newNode
蔷薇目(Rosales)，有资料归为虎耳草目,newNode
Impatiens rectangula,newNode
Aquilegia rockii,newNode
Corydalis stricta,newNode
Delphinium orthocentrum,newNode
Hemigraphis cumingiana,newNode
Epimedium mikinorii,newNode
Androsace erecta,newNode
Impatiens pseudokingii,newNode
Veronicastrum kitamura,newNode
直立黄耆、沙打旺、斜茎黄芪,newNode
Astragalus adsurgens Pall.,newNode
Boerhavia erecta,newNode
Pimpinella smithii,newNode
阿米芹族、葛缕子亚族,newNode
Athyriopsis erecta,newNode
