entity,relation,value
楸,治疗,尿路结石
楸,治疗,尿路感染
楸,治疗,热毒疮廊
球穗千斤拔,治疗,高热不退
球穗千斤拔,治疗,感冒
球穗千斤拔,治疗,风湿性关节炎
球穗千斤拔,治疗,痛经
球穗千斤拔,治疗,日痢
石胡荽,治疗,鼻炎
石胡荽,治疗,跌打损伤
曲江远志,治疗,咳嗽
曲江远志,治疗,咽喉肿痛
曲江远志,治疗,小儿疳积
曲江远志,治疗,月径不调
大白药,治疗,外伤出血
大白药,治疗,疮毒
全缘金粟兰,治疗,风湿性关节炎
全缘金粟兰,治疗,菌痢
泉七,治疗,刀枪伤
泉七,治疗,创伤出血
泉七,治疗,蛇虫咬伤
泉七,治疗,疮疡肿毒
雀舌草,治疗,刀伤
髯花杜鹃,治疗,气喘
蘘荷,治疗,跌打损伤
蘘荷,治疗,颈淋巴结核
蘘荷,治疗,腰痛
蘘荷,治疗,咳嗽
辽藁本,治疗,风寒头痛
辽藁本,治疗,寒湿腹痛
辽藁本,治疗,泄泻
人参娃儿藤,治疗,肚痛
人面子,治疗,风毒痒痛
人面子,治疗,喉痛
灰毛大青,治疗,毒疮
灰毛大青,治疗,风湿病
日本小檗,治疗,结膜炎
水竹叶,治疗,蛇虫咬伤
肉豆蔻,治疗,虚泻冷痢
肉豆蔻,治疗,脘腹冷痛
肉豆蔻,治疗,呕吐
肉豆蔻,治疗,风湿痛
多枝唐松草,治疗,目赤
多枝唐松草,治疗,热痢
多枝唐松草,治疗,黄疸
西藏吊灯花,治疗,小儿蛔虫
吊灯树,治疗,皮肤病
蜡瓣花属,治疗,慢性支气管炎
云南萝芙木,治疗,疥癣
五叶铁线莲,治疗,腹痛吐泻
五叶铁线莲,治疗,月经不调
五叶铁线莲,治疗,痛经
五叶铁线莲,治疗,风湿麻木
五叶铁线莲,治疗,关节疼痛
五叶铁线莲,治疗,跌打损伤
五叶铁线莲,治疗,偏头痛
五叶铁线莲,治疗,神经痛
扬子毛茛,治疗,疮毒
兰香草,治疗,毒蛇咬伤
